ID,Name,KG,Beschreibung,Link,Wikidata ID,Wikidata Link,Benannt nach,Wikidata Person ID,Wikidata Person Link,Wikidata Person Name,Wikidata Person Geschlecht,Wikidata Person Beruf,Wikidata Person Geburtsdatum,Wikidata Person Sterbedatum
918,Achleitnerstraße,Ebelsberg,Vom Hauderweg parallel zur Kremsmünsterer Straße verlaufende Sackgasse. Benannt 1974 nach dem Ebelsberger Gemeindearzt und Mitglied des Gemeindeausschusses Dr. Viktor Achleitner (1872-1961).,http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=918,,,Viktor Achleitner,,,,,,,
919,Ackerlweg,Pöstlingberg,Gegenüber dem Objekt Gründbergstraße 65 etwa in nördlicher Richtung zur Höllmühlstraße verlaufend. Benannt 1955 nach dem ehemaligen Ackerlhäusl.,http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=919,,,,,,,,,,
920,Adalbert-Stifter-Platz,Linz,Umfaßt den ehemaligen sogenannten Zollamtplatz unter Einschluß des bisher unbenannten Teilstückes zwischen Zollamtstraße und Unterer Donaulände. Benannt 1990 nach dem österreichischen Dichter Adalbert Stifter (1805-1868).,http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=920,Q107102786,https://www.wikidata.org/wiki/Q107102786,Adalbert Stifter,Q168542,https://www.wikidata.org/wiki/Q168542,Adalbert Stifter,male,writer,1805-10-23T00:00:00Z,1868-01-28T00:00:00Z
921,Adelheid-Popp-Weg,Kleinmünchen,"Von der Hallestraße etwa in südwestlicher Richtung zur Kreiskystraße verlaufend. Benannt 1992 nach der sozialdemokratischen Politikerin, Redakteurin und Schriftstellerin Adelheid Popp (1869 - 1939).",http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=921,,,Adelheid Popp,Q34391,https://www.wikidata.org/wiki/Q34391,Adelheid Popp,female,journalist,1869-02-11T00:00:00Z,1939-03-07T00:00:00Z
922,Adlergasse,Linz,"Vom Hauptplatz heute unterbrochen durch den Bau des Finanzgebäudes Ost gegen Osten verlaufende Sackgasse. Benannt nach dem ehemaligen in dieser Gasse liegenden Gasthof Zum goldenen Adler. - Bis 1869 Untere Badgasse nach der bereits 1332 erwähnten Padstuben an der Froschau. Das Ende der Sackgasse ab der Neutorgasse hatte verschiedene Namen Neue Welt 1710, 1771, Froschengaßl 1730, In der Arschgarben, Arschkerben 1800 und Zum Großen Christoph.",http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=922,,,,,,,,,,
924,Adolf-Dietel-Weg,Kleinmünchen,Nach dem Objekt Angererhofweg 6 etwa in westsüdwestlicher Richtung zum Hauschildweg verlaufend. Benannt 1978 nach dem Ausschussmitglied des Linzer Arbeiterbildungsvereines Adolf Dietel 1840-1909.,http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=924,,,Adolf Dietel,,,,,,,
926,Adolf-Schärf-Straße,Katzbach,Parallel zur Karl-Renner-Straße etwa in nordöstlicher Richtung zur Michael-Hainisch-Straße verlaufend. Benannt 1972 nach dem sozialistischen Politiker und Bundespräsidenten Adolf Schärf 1890-1965.,http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=926,,,Adolf Schärf,Q72898,https://www.wikidata.org/wiki/Q72898,Adolf Schärf,male,politician,1890-04-20T00:00:00Z,1965-02-28T00:00:00Z
936,Afritschweg,Ebelsberg,Nach dem Objekt Hartheimerstraße 26 etwa in südlicher Richtung verlaufende Sackgasse. Benannt 1986 nach dem Gründer der Kinderfreunde Anton Afritsch 1873-1924.,http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=936,,,Anton Afritsch,,,,,,,
3476,Agathe-Schwabenau-Weg,Ufer,Von der Fischerfeldstraße in Richtung Südsüdwest abzweigende Sackgasse. Benannt 2022 nach der Malerin Agathe Schwabenau (1857–1950).,http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=3476,,,Agathe Schwabenau,Q109285700,https://www.wikidata.org/wiki/Q109285700,Agathe von Schwabenau,female,painter,1857-09-23T00:00:00Z,1950-01-01T00:00:00Z
937,Ahornweg,Katzbach,Von der Freistädter Straße nach dem Objekt Nr. 405 in nördlicher Richtung und dann im Bogen zum Statznergutweg verlaufend. Benannt 1958 nach der einheimischen Baumart.,http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=937,,,,,,,,,,
938,Aicherweg,Ebelsberg,Nach dem Objekt Kremsmünsterer Straße 71 etwa in südöstlicher Richtung zum Beuttlerweg verlaufend. Benannt 1954 nach dem ältesten bekannten Marktrichter von Ebelsberg 1478 Wolfgang Aicher.,http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=938,,,Wolfgang Aicher,,,,,,,
940,Aigengutstraße,Lustenau,Von der St.-Peter-Straße etwa in südlicher Richtung zur Werkseinfahrt der voestalpine verlaufend. Benannt 1980 nach dem ehemaligen Bauerngut Mair zu Aigen. - Von 1921-1973 bestand ein Straßenzug dieses Namens von der ehemaligen Posseltbrücke (heute Überführung der Westbahn im Zuge der A7) zur St.-Peter-Straße.,http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=940,,,,,,,,,,
